Insert Times,Search Times
1.92212e-06,6.186e-08
2.53679e-06,6.79e-08
1.42206e-06,6.93e-08
1.42445e-06,7.717e-08
1.41379e-06,7.699e-08
1.43364e-06,7.808e-08
1.43669e-06,7.939e-08
3.42797e-05,9.746e-08
1.55074e-05,9.367e-08
6.55022e-06,1.122e-07
1.7545e-06,1.0484e-07
1.45973e-06,9.553e-08
1.4956e-06,9.902e-08
2.78031e-05,1.9083e-07
1.54827e-06,1.0656e-07
1.4728e-06,9.878e-08
1.48954e-06,1.0031e-07
1.49255e-06,1.0334e-07
1.46915e-06,1.0285e-07
1.53216e-06,1.0676e-07
2.83415e-05,1.5439e-07
1.50596e-06,1.0947e-07
1.53618e-06,1.0982e-07
1.50415e-06,1.1166e-07
1.48252e-06,1.0733e-07
1.51571e-06,1.0625e-07
1.52037e-06,1.1252e-07
2.60558e-05,1.3241e-07
1.56208e-06,1.1752e-07
1.54333e-06,1.1566e-07
1.52927e-06,1.1074e-07
1.5463e-06,1.1408e-07
1.54467e-06,1.2183e-07
1.54007e-06,1.1472e-07
2.14399e-05,1.3672e-07
1.58548e-06,1.1935e-07
1.60189e-06,1.3365e-07
1.58411e-06,1.2534e-07
1.59045e-06,1.2996e-07
1.69935e-06,1.2994e-07
3.4017e-05,2.7331e-07
5.49867e-06,3.4762e-07
2.14141e-06,1.9174e-07
1.60385e-06,1.5621e-07
1.70172e-06,1.6702e-07
1.79145e-06,1.9513e-07
2.26075e-06,2.2478e-07
1.95114e-05,4.027e-07
1.76258e-06,2.3175e-07
1.75991e-06,2.0631e-07
1.74209e-06,1.5069e-07
1.7353e-06,1.867e-07
2.19638e-05,2.5993e-07
2.31111e-06,2.5021e-07
1.91402e-06,2.9821e-07
1.95678e-06,1.9821e-07
1.79439e-06,1.822e-07
1.89371e-05,2.019e-07
1.90476e-06,1.8024e-07
1.8315e-06,1.7496e-07
1.81321e-06,1.6569e-07
1.8435e-06,1.6736e-07
1.8677e-06,1.7403e-07
1.52724e-05,1.9547e-07
4.25233e-06,1.7664e-07
1.96475e-06,1.7682e-07
2.91061e-06,2.1537e-07
2.9069e-05,2.419e-07
5.38798e-06,3.1977e-07
5.46657e-06,2.9697e-07
2.01644e-06,2.5276e-07
1.30072e-05,1.30472e-06
3.75229e-06,1.49922e-06
4.07678e-06,3.2054e-07
9.66515e-06,3.197e-07
2.10996e-06,2.4047e-07
2.12344e-06,2.3813e-07
2.1556e-06,2.3089e-07
2.43778e-06,2.9487e-07
2.00782e-05,3.9122e-07
2.28944e-06,3.4918e-07
2.18044e-06,2.9432e-07
2.90252e-06,3.1978e-07
1.24121e-05,3.2693e-07
2.26371e-06,2.8204e-07
2.20069e-06,2.7008e-07
2.24696e-06,2.5324e-07
2.03909e-05,3.1861e-07
2.34504e-06,2.8186e-07
1.64054e-05,3.1964e-07
8.6211e-06,4.1845e-07
4.52278e-06,3.8332e-07
2.35981e-06,5.6872e-07
1.02684e-05,5.9194e-07
3.67912e-06,1.02476e-06
3.30159e-06,4.0211e-07
1.0032e-05,3.6556e-07
2.39006e-06,3.4263e-07
2.4341e-06,2.8574e-07
2.43315e-06,2.645e-07
1.70632e-05,4.5289e-07
2.46177e-06,3.4677e-07
2.6764e-06,3.5388e-07
2.51303e-06,3.8659e-07
1.27056e-05,5.4641e-07
2.6357e-06,4.5457e-07
2.87181e-06,4.1793e-07
2.56799e-06,3.6992e-07
1.38265e-05,3.546e-07
2.50631e-06,3.2394e-07
2.49038e-06,3.2575e-07
2.50002e-06,2.9713e-07
1.61676e-05,3.6122e-07
2.53264e-06,2.9961e-07
2.56648e-06,3.3144e-07
2.53368e-06,3.096e-07
1.12193e-05,3.4092e-07
1.68601e-05,3.7994e-07
5.12665e-06,5.7008e-07
5.56124e-06,5.2306e-07
2.7515e-06,5.1265e-07
1.24568e-05,1.57338e-06
3.71682e-06,5.1958e-07
7.9536e-06,4.3804e-07
2.82348e-06,4.1839e-07
2.73111e-06,3.9972e-07
3.15069e-06,4.1885e-07
9.9498e-06,4.0236e-07
2.83739e-06,3.6596e-07
2.79653e-06,3.8354e-07
2.83448e-06,3.7598e-07
1.04814e-05,3.863e-07
5.59864e-06,3.9908e-07
2.86605e-06,4.3468e-07
1.24338e-05,3.3891e-07
2.89631e-06,4.2544e-07
2.92882e-06,3.9794e-07
1.04593e-05,4.0394e-07
2.95352e-06,3.8973e-07
2.98811e-06,3.9539e-07
2.96632e-06,3.972e-07
9.80131e-06,4.2405e-07
1.99518e-05,7.1525e-07
5.88164e-06,6.4091e-07
3.04857e-06,5.3786e-07
8.98161e-06,1.07066e-06
4.32396e-06,1.62959e-06
9.335e-06,6.3697e-07
3.23786e-06,5.5652e-07
3.16423e-06,5.1985e-07
9.85241e-06,1.08512e-06
3.32736e-06,5.469e-07
3.29628e-06,5.2207e-07
3.24875e-06,6.3448e-07
9.69134e-06,5.8549e-07
3.36518e-06,5.8777e-07
3.58016e-06,6.5895e-07
1.06958e-05,6.1227e-07
3.41701e-06,5.6105e-07
3.3763e-06,5.3102e-07
1.29551e-05,6.3785e-07
3.3672e-06,4.9036e-07
3.44027e-06,5.5958e-07
9.02554e-06,5.0988e-07
3.42607e-06,5.1961e-07
3.45442e-06,5.0845e-07
9.46587e-06,5.1795e-07
1.63628e-05,6.3778e-07
8.59168e-06,7.3874e-07
3.79509e-06,7.3593e-07
7.8208e-06,1.60452e-06
6.23351e-06,8.774e-07
7.02898e-06,6.5699e-07
3.59663e-06,5.8683e-07
3.62641e-06,5.8527e-07
9.0758e-06,9.8208e-07
3.81165e-06,5.4391e-07
3.70398e-06,6.4501e-07
8.86947e-06,7.2667e-07
3.8877e-06,6.8232e-07
3.98472e-06,8.0758e-07
9.35867e-06,8.039e-07
4.42097e-06,6.8189e-07
1.35281e-05,6.5626e-07
3.82005e-06,6.2025e-07
3.83013e-06,6.3528e-07
8.77295e-06,6.4361e-07
3.88365e-06,6.5366e-07
3.84962e-06,6.4219e-07
8.62038e-06,5.1667e-07
1.64728e-05,6.9994e-07
7.94205e-06,7.8887e-07
3.98179e-06,7.8274e-07
8.43386e-06,1.63078e-06
5.66882e-06,1.9496e-06
7.781e-06,8.2825e-07
4.00466e-06,7.1478e-07
4.14645e-06,7.8665e-07
7.95063e-06,7.458e-07
4.09984e-06,7.0134e-07
4.05347e-06,7.1559e-07
7.72484e-06,6.3912e-07
4.11807e-06,7.0349e-07
8.99968e-06,6.6246e-07
4.11195e-06,6.4988e-07
4.14046e-06,6.8428e-07
1.22785e-05,7.1513e-07
4.30163e-06,6.5004e-07
4.18751e-06,7.1678e-07
8.08158e-06,7.8548e-07
4.28446e-06,6.3964e-07
8.29391e-06,7.828e-07
1.71669e-05,1.01928e-06
9.02374e-06,1.00279e-06
6.26445e-06,1.04436e-06
1.82528e-05,9.0776e-07
4.45676e-06,8.5146e-07
8.36904e-06,9.9743e-07
5.05726e-06,8.357e-07
4.48183e-06,9.0764e-07
8.03517e-06,8.5556e-07
4.63691e-06,8.9365e-07
9.04933e-06,9.9897e-07
4.85504e-06,1.11053e-06
8.48346e-06,9.4971e-07
4.67768e-06,8.3091e-07
4.67787e-06,8.7563e-07
7.50467e-06,7.7402e-07
4.66523e-06,8.5083e-07
1.27844e-05,8.7073e-07
4.75273e-06,9.6447e-07
3.07061e-05,1.23999e-06
1.34683e-05,1.12487e-06
6.44218e-06,1.10968e-06
7.15466e-06,1.56385e-06
8.17607e-06,1.08005e-06
4.98931e-06,9.9429e-07
8.41673e-06,1.01983e-06
4.85064e-06,1.07806e-06
8.08684e-06,1.03801e-06
4.9877e-06,9.3955e-07
4.88921e-06,9.8831e-07
1.06288e-05,1.01652e-06
4.92042e-06,8.834e-07
7.7202e-06,9.4598e-07
4.90092e-06,9.4191e-07
1.21141e-05,9.4688e-07
1.8263e-05,1.06045e-06
5.50297e-06,1.14478e-06
5.27857e-06,1.21322e-06
8.75395e-06,1.55149e-06
8.68625e-06,1.42598e-06
6.88849e-06,1.06098e-06
5.30266e-06,1.15844e-06
7.8155e-06,1.22965e-06
5.22545e-06,1.17702e-06
7.67782e-06,1.05493e-06
5.16912e-06,1.0483e-06
8.68775e-06,1.12653e-06
5.3756e-06,1.15458e-06
5.35959e-06,1.27671e-06
7.19239e-06,1.21021e-06
5.67913e-06,1.36841e-06
1.30395e-05,1.31164e-06
5.34279e-06,1.17055e-06
6.93891e-06,1.08755e-06
5.40885e-06,1.10391e-06
7.2405e-06,1.12795e-06
1.6602e-05,1.184e-06
6.21011e-06,1.26796e-06
5.87256e-06,1.34052e-06
9.00412e-06,2.85485e-06
8.30948e-06,1.18087e-06
5.49162e-06,1.26035e-06
7.94791e-06,1.08776e-06
5.98106e-06,1.19615e-06
8.20303e-06,1.19827e-06
5.61314e-06,1.43899e-06
8.2009e-06,1.32814e-06
5.92029e-06,1.45966e-06
6.82604e-06,1.39346e-06
6.05405e-06,1.29194e-06
1.17473e-05,1.29875e-06
5.68316e-06,1.28398e-06
1.2767e-05,1.32512e-06
1.60752e-05,1.3369e-06
6.2232e-06,1.62896e-06
6.05369e-06,1.44247e-06
7.60793e-06,1.64258e-06
1.02972e-05,1.32113e-06
6.22787e-06,1.29516e-06
7.40494e-06,1.45032e-06
7.82112e-06,1.30937e-06
6.74431e-06,1.46196e-06
6.27774e-06,1.34296e-06
6.66657e-06,1.36337e-06
6.63787e-06,1.41145e-06
6.78463e-06,1.43269e-06
6.74985e-06,1.44214e-06
9.93794e-06,1.30711e-06
6.11525e-06,1.2677e-06
7.12139e-06,1.33842e-06
6.07524e-06,1.40544e-06
1.6305e-05,1.5201e-06
8.75265e-06,1.45052e-06
7.07781e-06,2.09521e-06
9.734e-06,1.51064e-06
6.1935e-06,1.37812e-06
6.22024e-06,1.47032e-06
7.18252e-06,1.85514e-06
6.78711e-06,1.51612e-06
6.27966e-06,1.4983e-06
6.52382e-06,1.56369e-06
6.60863e-06,1.66053e-06
6.69589e-06,1.65886e-06
6.8401e-06,1.22689e-06
6.77048e-06,1.34765e-06
6.67279e-06,1.33377e-06
6.65219e-06,1.24801e-06
1.12157e-05,1.36967e-06
6.73699e-06,1.25477e-06
7.57692e-06,1.39416e-06
6.87141e-06,1.47793e-06
1.73328e-05,1.48935e-06
7.16398e-06,1.51821e-06
7.85369e-06,1.59329e-06
9.28679e-06,2.9873e-06
7.02809e-06,1.90804e-06
6.77875e-06,1.6747e-06
6.53588e-06,1.50978e-06
6.51414e-06,1.60246e-06
6.5705e-06,1.49491e-06
7.74512e-06,1.41464e-06
7.08744e-06,1.26548e-06
6.92842e-06,1.28456e-06
7.07838e-06,1.31157e-06
6.58687e-06,1.48433e-06
6.6768e-06,1.53357e-06
6.63441e-06,1.37495e-06
6.72084e-06,1.49931e-06
1.82148e-05,1.6957e-06
7.59277e-06,1.70736e-06
7.32632e-06,2.03783e-06
1.21022e-05,1.81294e-06
7.81877e-06,2.05775e-06
7.41504e-06,1.84899e-06
6.96469e-06,1.79655e-06
7.21945e-06,1.77689e-06
7.46389e-06,1.95931e-06
7.87704e-06,1.63314e-06
7.52e-06,1.50771e-06
7.47071e-06,1.45872e-06
7.41663e-06,1.51818e-06
1.52486e-05,1.66904e-06
6.95243e-06,1.74551e-06
7.03544e-06,1.6131e-06
1.63276e-05,2.51994e-06
7.69907e-06,2.17694e-06
8.71676e-06,2.23869e-06
9.06591e-06,1.77437e-06
7.32333e-06,1.86569e-06
8.02605e-06,1.75168e-06
7.42298e-06,1.57921e-06
7.40211e-06,1.91089e-06
7.75137e-06,2.01716e-06
7.87119e-06,1.79593e-06
8.01018e-06,1.63725e-06
7.29285e-06,2.03166e-06
7.31239e-06,1.6949e-06
7.37357e-06,1.78299e-06
7.30394e-06,1.51338e-06
7.31104e-06,1.72148e-06
2.16881e-05,1.84976e-06
7.82099e-06,2.03148e-06
9.77104e-06,2.33046e-06
9.45579e-06,2.16241e-06
7.54302e-06,1.7925e-06
8.73863e-06,2.13551e-06
7.53432e-06,2.13923e-06
7.74471e-06,2.01953e-06
8.19377e-06,2.03231e-06
8.44902e-06,2.2213e-06
7.77172e-06,1.69142e-06
7.66884e-06,1.68429e-06
1.02097e-05,1.79623e-06
8.21813e-06,1.56251e-06
8.23994e-06,1.6881e-06
1.6269e-05,2.52801e-06
8.36051e-06,2.5281e-06
9.78614e-06,2.82469e-06
9.33526e-06,2.15533e-06
7.97524e-06,2.0414e-06
