Insert Times,Search Times,Insert Collisions, Search Collisions
8.936e-08,1.22e-08,0,0
7.218e-08,1.061e-08,0,0
8.784e-08,1.067e-08,0,0
8.55e-08,1.112e-08,0,0
7.113e-08,1.116e-08,2,0
8.521e-08,1.144e-08,1,0
6.933e-08,1.182e-08,0,1
8.302e-08,1.202e-08,2,0
6.927e-08,1.163e-08,1,0
6.963e-08,1.183e-08,1,1
8.207e-08,1.237e-08,4,1
6.918e-08,1.219e-08,0,0
8.6e-08,1.271e-08,3,1
6.896e-08,1.305e-08,3,4
6.88e-08,1.216e-08,10,0
8.51e-08,1.294e-08,4,2
6.814e-08,1.243e-08,1,0
8.365e-08,1.257e-08,2,0
6.955e-08,1.281e-08,5,1
6.97e-08,1.281e-08,7,2
8.306e-08,1.347e-08,7,2
6.91e-08,1.386e-08,4,2
8.526e-08,1.355e-08,11,1
6.905e-08,1.372e-08,1,2
6.914e-08,1.366e-08,2,2
8.378e-08,1.455e-08,6,1
7.018e-08,1.428e-08,6,3
6.866e-08,1.395e-08,4,3
8.703e-08,1.431e-08,10,1
7.024e-08,1.436e-08,11,2
8.5e-08,1.49e-08,10,2
7.068e-08,1.478e-08,9,2
6.928e-08,1.377e-08,16,0
1.287e-07,1.555e-08,5,1
7.061e-08,1.468e-08,10,3
8.675e-08,1.559e-08,12,4
7.063e-08,1.505e-08,8,0
7.103e-08,1.493e-08,16,1
8.324e-08,1.579e-08,7,3
6.853e-08,1.637e-08,5,5
8.583e-08,1.512e-08,14,4
7.007e-08,1.61e-08,12,5
7.07e-08,1.466e-08,8,1
8.656e-08,1.518e-08,6,1
7e-08,1.595e-08,6,3
8.61e-08,1.548e-08,11,1
6.943e-08,1.466e-08,10,0
7.077e-08,1.597e-08,8,2
8.622e-08,1.665e-08,7,6
7.081e-08,1.56e-08,13,1
7.018e-08,1.573e-08,12,1
8.347e-08,1.63e-08,9,4
7.022e-08,1.588e-08,10,2
8.442e-08,1.596e-08,9,3
7.059e-08,1.612e-08,9,1
7.203e-08,1.658e-08,17,7
8.966e-08,1.613e-08,17,4
7.069e-08,1.644e-08,12,2
8.788e-08,1.704e-08,14,6
7.156e-08,1.728e-08,16,7
7.213e-08,1.644e-08,14,3
8.86e-08,1.664e-08,13,5
7.223e-08,1.745e-08,12,5
8.641e-08,1.656e-08,7,3
7.272e-08,1.711e-08,17,5
7.324e-08,1.635e-08,20,1
8.473e-08,1.69e-08,14,2
7.308e-08,1.846e-08,19,9
7.087e-08,1.697e-08,13,4
8.829e-08,1.696e-08,10,5
7.295e-08,1.741e-08,18,3
8.751e-08,1.804e-08,16,4
7.142e-08,1.701e-08,19,4
7.118e-08,1.826e-08,14,7
8.642e-08,1.759e-08,15,5
7.523e-08,1.81e-08,22,7
9.339e-08,1.79e-08,25,8
7.359e-08,1.78e-08,19,6
7.248e-08,1.8e-08,13,7
8.591e-08,1.816e-08,16,5
7.052e-08,1.674e-08,10,2
8.828e-08,1.845e-08,14,7
7.227e-08,1.85e-08,18,7
7.36e-08,1.778e-08,19,6
8.656e-08,1.741e-08,19,5
7.259e-08,1.768e-08,16,4
8.949e-08,1.866e-08,25,8
7.459e-08,1.734e-08,16,5
7.3e-08,1.765e-08,17,2
9.013e-08,1.846e-08,20,8
7.616e-08,1.817e-08,25,7
7.364e-08,1.759e-08,17,4
8.717e-08,1.935e-08,17,7
7.281e-08,1.752e-08,12,5
8.864e-08,1.761e-08,19,2
7.071e-08,1.957e-08,15,11
7.245e-08,1.759e-08,16,3
8.917e-08,1.701e-08,20,1
7.463e-08,1.857e-08,23,8
9.012e-08,1.802e-08,26,3
7.676e-08,1.794e-08,27,5
7.429e-08,1.9e-08,24,8
8.95e-08,1.881e-08,22,7
7.471e-08,1.716e-08,27,2
9.317e-08,1.898e-08,27,6
7.284e-08,1.844e-08,15,6
7.843e-08,1.917e-08,30,8
9.447e-08,1.864e-08,30,6
7.376e-08,1.786e-08,22,4
9.174e-08,1.865e-08,26,5
7.622e-08,1.823e-08,27,5
7.506e-08,1.909e-08,21,7
9.367e-08,1.867e-08,30,6
7.546e-08,1.884e-08,23,5
7.475e-08,1.933e-08,19,8
9.141e-08,1.89e-08,27,7
7.507e-08,1.979e-08,24,7
8.909e-08,1.979e-08,27,7
7.66e-08,2.028e-08,28,10
7.577e-08,1.871e-08,22,6
9.269e-08,2.005e-08,27,7
7.56e-08,1.949e-08,26,6
9.162e-08,2.046e-08,34,11
7.314e-08,2.023e-08,18,10
7.589e-08,1.996e-08,27,12
9.001e-08,1.901e-08,18,5
7.613e-08,1.921e-08,27,5
9.138e-08,2.005e-08,30,7
7.607e-08,1.786e-08,26,1
7.694e-08,1.872e-08,24,4
8.953e-08,1.875e-08,24,5
7.849e-08,1.945e-08,35,7
7.653e-08,1.882e-08,30,6
9.077e-08,2.007e-08,25,9
7.624e-08,1.776e-08,24,1
9.158e-08,1.961e-08,29,7
7.487e-08,2.091e-08,24,12
7.828e-08,1.916e-08,36,6
9.398e-08,2.02e-08,31,7
7.724e-08,2.023e-08,25,7
8.883e-08,2.029e-08,21,6
7.949e-08,2.013e-08,36,8
7.881e-08,2.04e-08,32,6
9.433e-08,1.889e-08,32,4
7.831e-08,2e-08,33,7
9.119e-08,1.91e-08,30,6
7.943e-08,1.871e-08,32,6
7.578e-08,2.117e-08,27,13
9.172e-08,1.913e-08,31,5
7.805e-08,1.96e-08,32,7
9.418e-08,1.935e-08,33,6
7.727e-08,1.98e-08,28,4
7.861e-08,2.052e-08,31,6
9.678e-08,2.044e-08,39,11
7.835e-08,1.855e-08,35,2
7.579e-08,1.928e-08,23,4
9.63e-08,2.098e-08,35,8
7.857e-08,1.984e-08,31,7
9.722e-08,2.068e-08,33,7
7.87e-08,2.06e-08,35,10
8.017e-08,1.958e-08,28,5
9.508e-08,2.186e-08,29,13
7.6e-08,1.999e-08,25,7
9.614e-08,1.963e-08,31,6
8.074e-08,2.1e-08,34,11
7.91e-08,2.252e-08,36,13
9.425e-08,2.059e-08,32,8
9.658e-08,2.188e-08,38,10
9.369e-08,2.092e-08,35,8
8.13e-08,1.906e-08,42,3
7.711e-08,2.099e-08,31,9
9.451e-08,2.033e-08,26,7
7.855e-08,1.955e-08,31,5
9.509e-08,2.099e-08,37,9
7.866e-08,2.029e-08,34,8
8.133e-08,1.978e-08,35,7
9.426e-08,2.082e-08,34,9
8.016e-08,2.134e-08,34,13
8.01e-08,2.165e-08,36,12
9.25e-08,2.069e-08,33,9
8.203e-08,2.129e-08,41,12
9.476e-08,2.134e-08,32,11
8.089e-08,2.092e-08,43,7
8.139e-08,2.33e-08,39,16
9.422e-08,2.024e-08,33,7
7.795e-08,2.152e-08,31,12
9.554e-08,2.105e-08,40,9
7.989e-08,2.129e-08,35,11
7.927e-08,2.11e-08,36,10
9.83e-08,2.102e-08,35,9
8.01e-08,2.363e-08,38,15
9.549e-08,2.114e-08,31,9
8.106e-08,2.016e-08,38,7
8.139e-08,2.108e-08,39,10
9.66e-08,2.252e-08,37,14
8.174e-08,2.101e-08,42,8
8.218e-08,2.153e-08,41,11
9.717e-08,2.272e-08,42,14
8.307e-08,2.363e-08,41,15
9.664e-08,2.134e-08,41,11
8.477e-08,2.082e-08,41,10
8.351e-08,2.003e-08,36,6
1.0176e-07,2.18e-08,40,10
8.576e-08,2.263e-08,53,14
9.914e-08,2.181e-08,40,9
8.379e-08,2.171e-08,41,9
8.506e-08,2.13e-08,43,11
9.554e-08,2.153e-08,37,9
8.523e-08,2.232e-08,46,17
9.709e-08,2.217e-08,42,14
8.46e-08,2.005e-08,39,6
8.087e-08,2.109e-08,38,11
9.908e-08,2.042e-08,39,7
8.428e-08,2.351e-08,39,17
9.584e-08,2.401e-08,46,17
8.049e-08,2.179e-08,38,11
8.184e-08,2.093e-08,44,7
9.823e-08,2.127e-08,43,9
8.17e-08,2.298e-08,44,17
8.394e-08,2.026e-08,43,5
9.864e-08,2.139e-08,47,6
8.385e-08,2.198e-08,43,12
9.856e-08,2.143e-08,38,11
8.331e-08,2.144e-08,41,10
8.297e-08,2.358e-08,40,16
9.769e-08,2.418e-08,42,13
8.164e-08,2.18e-08,35,7
