Insert Times,Search Times,Insert Collisions, Search Collisions
1.3716e-07,1.202e-08,0,0
7.034e-08,1e-08,3,0
8.202e-08,1.041e-08,0,0
8.209e-08,1.091e-08,1,0
6.683e-08,1.069e-08,6,0
8.203e-08,1.063e-08,4,0
6.574e-08,1.074e-08,6,0
7.885e-08,1.132e-08,1,0
6.622e-08,1.085e-08,8,0
6.538e-08,1.102e-08,6,0
7.999e-08,1.128e-08,13,0
6.496e-08,1.101e-08,8,0
8.243e-08,1.139e-08,10,0
6.561e-08,1.135e-08,6,0
6.591e-08,1.099e-08,10,0
8.023e-08,1.154e-08,10,0
6.627e-08,1.127e-08,5,0
7.924e-08,1.168e-08,7,0
6.657e-08,1.136e-08,11,0
6.729e-08,1.171e-08,13,0
1.6844e-07,1.471e-08,12,0
6.852e-08,1.337e-08,15,0
6.906e-08,1.296e-08,18,0
8.484e-08,1.24e-08,17,0
6.933e-08,1.268e-08,26,0
8.368e-08,1.272e-08,14,0
6.85e-08,1.237e-08,19,0
6.776e-08,1.188e-08,16,0
8.391e-08,1.248e-08,21,0
6.7e-08,1.255e-08,14,0
8.455e-08,1.262e-08,21,0
6.845e-08,1.265e-08,18,0
6.851e-08,1.244e-08,17,0
8.122e-08,1.291e-08,13,0
6.919e-08,1.286e-08,16,0
8.197e-08,1.303e-08,23,0
6.828e-08,1.311e-08,16,0
6.658e-08,1.295e-08,13,0
8.393e-08,1.344e-08,24,0
6.876e-08,1.256e-08,16,0
8.964e-08,1.278e-08,26,0
6.973e-08,1.304e-08,18,0
6.987e-08,1.316e-08,17,0
8.324e-08,1.325e-08,22,0
7.039e-08,1.358e-08,19,0
7.03e-08,1.281e-08,20,0
8.191e-08,1.322e-08,12,0
6.82e-08,1.357e-08,17,0
8.583e-08,1.353e-08,20,0
6.948e-08,1.314e-08,20,0
6.87e-08,1.322e-08,20,0
8.653e-08,1.42e-08,28,0
6.89e-08,1.327e-08,16,0
8.553e-08,1.403e-08,18,0
6.929e-08,1.369e-08,20,0
6.882e-08,1.353e-08,18,0
8.413e-08,1.362e-08,29,0
7.08e-08,1.418e-08,26,0
8.304e-08,1.415e-08,17,0
6.89e-08,1.325e-08,17,0
6.916e-08,1.413e-08,18,0
8.854e-08,1.439e-08,29,0
7.101e-08,1.36e-08,19,0
7.15e-08,1.44e-08,29,0
8.52e-08,1.457e-08,20,0
6.927e-08,1.428e-08,21,0
8.603e-08,1.463e-08,22,0
7.158e-08,1.413e-08,20,0
6.879e-08,1.448e-08,19,0
8.579e-08,1.449e-08,15,0
7.077e-08,1.498e-08,19,0
8.424e-08,1.471e-08,21,0
7.072e-08,1.476e-08,24,0
6.952e-08,1.54e-08,21,0
8.655e-08,1.469e-08,22,0
6.966e-08,1.536e-08,14,0
8.469e-08,1.525e-08,20,0
6.933e-08,1.483e-08,15,0
7.135e-08,1.487e-08,23,0
8.729e-08,1.509e-08,25,0
7.113e-08,1.557e-08,26,0
8.636e-08,1.602e-08,23,0
7.023e-08,1.504e-08,21,0
7.184e-08,1.556e-08,24,0
8.338e-08,1.525e-08,20,0
6.968e-08,1.49e-08,19,0
7.081e-08,1.488e-08,21,0
8.939e-08,1.586e-08,20,0
7.147e-08,1.583e-08,15,0
8.674e-08,1.565e-08,20,0
7.224e-08,1.594e-08,26,0
7.105e-08,1.564e-08,23,0
8.709e-08,1.598e-08,27,0
7.14e-08,1.574e-08,21,0
8.502e-08,1.598e-08,21,0
7.006e-08,1.602e-08,13,0
7.22e-08,1.631e-08,29,0
8.68e-08,1.578e-08,19,0
6.779e-08,1.557e-08,15,0
8.511e-08,1.619e-08,23,0
7.265e-08,1.615e-08,27,0
7.213e-08,1.631e-08,25,0
8.336e-08,1.687e-08,14,0
7.302e-08,1.625e-08,24,0
8.838e-08,1.582e-08,24,0
7.348e-08,1.678e-08,27,0
7.163e-08,1.636e-08,15,0
8.546e-08,1.686e-08,17,0
6.927e-08,1.714e-08,11,0
7.066e-08,1.641e-08,19,0
8.583e-08,1.686e-08,25,0
7.209e-08,1.666e-08,29,0
8.72e-08,1.665e-08,29,0
7.213e-08,1.672e-08,24,0
7.034e-08,1.658e-08,19,0
8.725e-08,1.783e-08,19,0
7.345e-08,1.719e-08,20,0
8.381e-08,1.672e-08,15,0
7.28e-08,1.656e-08,28,0
7.053e-08,1.645e-08,18,0
8.647e-08,1.663e-08,13,0
7.243e-08,1.707e-08,21,0
8.578e-08,1.756e-08,28,0
7.152e-08,1.718e-08,21,0
7.111e-08,1.765e-08,19,0
8.82e-08,1.745e-08,24,0
7.516e-08,1.722e-08,25,0
7.097e-08,1.75e-08,23,0
8.764e-08,1.696e-08,22,0
7.066e-08,1.758e-08,22,0
8.703e-08,1.704e-08,25,0
7.289e-08,1.786e-08,24,0
7.145e-08,1.68e-08,21,0
8.706e-08,1.729e-08,20,0
7.321e-08,1.771e-08,24,0
8.665e-08,1.687e-08,19,0
7.377e-08,1.72e-08,27,0
7.353e-08,1.774e-08,19,0
8.544e-08,1.778e-08,26,0
7.269e-08,1.754e-08,23,0
8.456e-08,1.837e-08,16,0
7.113e-08,1.76e-08,18,0
7.065e-08,1.77e-08,16,0
8.608e-08,1.834e-08,17,0
7.161e-08,1.75e-08,18,0
8.448e-08,1.78e-08,17,0
6.903e-08,1.79e-08,12,0
7.236e-08,1.798e-08,17,0
9.185e-08,1.767e-08,25,0
7.091e-08,1.776e-08,15,0
7.38e-08,1.788e-08,27,0
8.705e-08,1.806e-08,24,0
6.966e-08,1.811e-08,11,0
8.789e-08,1.812e-08,23,0
7.352e-08,1.741e-08,29,0
7.173e-08,1.782e-08,21,0
8.827e-08,1.801e-08,25,0
7.034e-08,1.75e-08,18,0
8.79e-08,1.784e-08,20,0
7.163e-08,1.794e-08,20,0
7.328e-08,1.789e-08,28,0
8.54e-08,1.801e-08,22,0
7.246e-08,1.867e-08,22,1
8.718e-08,1.778e-08,18,0
7.246e-08,1.768e-08,25,0
7.484e-08,1.792e-08,29,0
8.681e-08,1.805e-08,26,0
8.996e-08,1.806e-08,36,0
8.508e-08,1.816e-08,24,0
7.269e-08,1.828e-08,25,0
7.245e-08,1.786e-08,19,0
8.851e-08,1.843e-08,26,1
7.304e-08,1.842e-08,20,0
7.477e-08,1.814e-08,35,0
8.761e-08,1.836e-08,28,1
7.562e-08,1.794e-08,32,0
8.912e-08,1.796e-08,32,0
7.716e-08,1.82e-08,31,0
7.389e-08,1.858e-08,28,1
9.075e-08,1.873e-08,36,0
7.2e-08,1.931e-08,24,2
9.103e-08,1.886e-08,31,2
7.397e-08,1.853e-08,34,0
7.645e-08,1.818e-08,33,1
8.801e-08,1.806e-08,34,0
7.431e-08,1.866e-08,30,1
8.65e-08,1.828e-08,30,2
7.413e-08,1.916e-08,30,3
7.657e-08,1.805e-08,34,0
9.106e-08,1.841e-08,32,1
7.914e-08,1.827e-08,42,2
7.797e-08,1.935e-08,38,3
9.41e-08,1.856e-08,44,1
7.849e-08,1.865e-08,39,0
8.809e-08,1.865e-08,29,2
7.732e-08,1.934e-08,42,3
7.795e-08,1.832e-08,41,1
9.485e-08,1.966e-08,50,3
7.873e-08,1.884e-08,38,3
9.488e-08,1.877e-08,43,0
7.91e-08,1.877e-08,42,2
7.885e-08,1.848e-08,41,2
8.917e-08,1.976e-08,43,4
7.54e-08,1.925e-08,30,2
9.478e-08,1.977e-08,46,3
8.008e-08,1.938e-08,48,1
8.123e-08,1.888e-08,48,1
9.414e-08,2.002e-08,41,4
8.109e-08,2.038e-08,46,4
9.2e-08,2.245e-08,42,10
8.289e-08,1.866e-08,50,0
8.168e-08,1.943e-08,53,4
9.685e-08,2.357e-08,45,5
7.997e-08,1.96e-08,45,4
8.25e-08,1.939e-08,53,5
9.156e-08,2.04e-08,41,5
8.093e-08,2.031e-08,54,4
9.698e-08,2.137e-08,56,6
8.326e-08,1.9e-08,50,3
8.454e-08,1.938e-08,53,4
9.822e-08,2.01e-08,54,4
8.256e-08,1.957e-08,50,3
9.354e-08,1.916e-08,39,1
8.004e-08,2.026e-08,40,8
8.069e-08,2.023e-08,51,6
9.58e-08,2.01e-08,45,4
8.182e-08,2.096e-08,43,7
9.575e-08,1.941e-08,51,5
8.415e-08,2.052e-08,56,7
8.38e-08,2.174e-08,52,8
1.0023e-07,2.09e-08,55,9
8.534e-08,2.003e-08,49,7
9.771e-08,2.016e-08,46,6
8.205e-08,1.953e-08,49,4
8.435e-08,2.03e-08,65,6
1.0008e-07,2.095e-08,52,8
8.502e-08,1.985e-08,58,6
8.105e-08,2.033e-08,44,7
9.848e-08,2.055e-08,55,9
8.998e-08,2.134e-08,64,9
9.896e-08,2.052e-08,48,7
8.583e-08,2.142e-08,61,9
8.276e-08,2.129e-08,53,7
9.694e-08,1.971e-08,52,4
8.564e-08,2.137e-08,44,7
1.016e-07,2.258e-08,56,9
8.236e-08,2.269e-08,54,11
8.249e-08,2.208e-08,48,11
9.581e-08,2.189e-08,47,8
8.304e-08,2.053e-08,53,6
9.431e-08,2.183e-08,52,10
8.27e-08,1.998e-08,52,6
8.342e-08,2.081e-08,49,7
9.839e-08,2.291e-08,56,13
8.113e-08,2.087e-08,42,9
8.343e-08,2.056e-08,54,8
9.456e-08,1.907e-08,50,1
8.46e-08,2.257e-08,56,12
9.636e-08,1.956e-08,46,2
8.225e-08,2.22e-08,50,13
8.284e-08,2.134e-08,45,9
1.4587e-07,2.236e-08,44,13
8.691e-08,2.332e-08,55,13
9.912e-08,2.337e-08,55,17
8.446e-08,2.152e-08,50,9
8.429e-08,2.247e-08,50,12
9.699e-08,2.234e-08,55,10
9.922e-08,2.399e-08,53,11
9.745e-08,2.284e-08,54,15
8.45e-08,2.269e-08,46,11
8.667e-08,2.192e-08,54,9
9.976e-08,2.207e-08,53,10
8.719e-08,2.345e-08,61,9
9.712e-08,2.336e-08,54,11
8.273e-08,2.212e-08,56,10
8.307e-08,2.343e-08,49,14
9.932e-08,2.124e-08,49,6
8.148e-08,2.314e-08,46,18
8.21e-08,2.379e-08,51,13
9.713e-08,2.303e-08,47,12
8.364e-08,2.263e-08,49,11
9.718e-08,2.552e-08,61,15
8.645e-08,2.527e-08,56,13
8.291e-08,2.241e-08,51,14
9.778e-08,2.478e-08,51,20
8.522e-08,2.416e-08,54,18
9.864e-08,2.446e-08,44,18
8.526e-08,2.089e-08,61,6
8.482e-08,2.16e-08,41,10
9.772e-08,2.23e-08,39,9
8.034e-08,2.22e-08,47,10
9.524e-08,2.167e-08,51,7
