Insert Times,Search Times,Insert Collisions, Search Collisions
9.27e-08,1.209e-08,0,0
8.932e-08,1.094e-08,0,0
7.29e-08,1.036e-08,0,0
8.722e-08,1.138e-08,0,0
7.331e-08,1.11e-08,2,0
7.242e-08,1.117e-08,1,0
8.743e-08,1.191e-08,0,1
7.16e-08,1.153e-08,2,0
8.457e-08,1.208e-08,1,0
7.137e-08,1.203e-08,1,1
7.135e-08,1.189e-08,4,1
8.544e-08,1.191e-08,0,0
7.068e-08,1.223e-08,3,1
8.588e-08,1.367e-08,3,4
7.186e-08,1.2e-08,10,0
7.115e-08,1.296e-08,4,2
8.801e-08,1.248e-08,1,0
7.125e-08,1.27e-08,2,0
7.107e-08,1.265e-08,5,1
8.763e-08,1.302e-08,7,2
7.114e-08,1.353e-08,7,2
8.653e-08,1.321e-08,4,2
7.175e-08,1.298e-08,11,1
7.121e-08,1.342e-08,1,2
8.543e-08,1.334e-08,2,2
7.113e-08,1.325e-08,6,1
8.856e-08,1.398e-08,6,3
7.097e-08,1.381e-08,4,3
7.181e-08,1.315e-08,10,1
8.642e-08,1.39e-08,11,2
7.17e-08,1.379e-08,10,2
8.653e-08,1.413e-08,10,2
7.228e-08,1.353e-08,16,0
7.147e-08,1.362e-08,6,1
8.687e-08,1.434e-08,10,3
7.212e-08,1.463e-08,12,4
7.249e-08,1.371e-08,10,0
9.045e-08,1.384e-08,16,1
7.131e-08,1.466e-08,8,3
8.582e-08,1.624e-08,7,6
7.307e-08,1.58e-08,15,4
7.257e-08,1.539e-08,13,5
8.619e-08,1.507e-08,8,1
7.228e-08,1.465e-08,7,1
8.501e-08,1.539e-08,7,5
7.247e-08,1.438e-08,11,2
7.182e-08,1.459e-08,10,0
9.057e-08,1.594e-08,9,3
7.19e-08,1.7e-08,7,7
8.936e-08,1.56e-08,14,1
7.247e-08,1.584e-08,13,1
7.376e-08,1.642e-08,9,5
8.741e-08,1.568e-08,11,2
7.308e-08,1.628e-08,9,4
8.755e-08,1.642e-08,10,1
7.349e-08,1.762e-08,17,9
7.344e-08,1.652e-08,17,5
8.901e-08,1.61e-08,13,2
7.389e-08,1.75e-08,15,6
7.402e-08,1.747e-08,16,7
8.766e-08,1.641e-08,14,4
7.403e-08,1.686e-08,14,5
8.842e-08,1.66e-08,13,5
7.16e-08,1.626e-08,7,3
7.551e-08,1.678e-08,19,5
8.872e-08,2.714e-08,20,1
7.339e-08,1.631e-08,14,2
9.401e-08,1.88e-08,21,10
7.372e-08,1.722e-08,14,4
7.432e-08,1.777e-08,11,5
8.975e-08,1.764e-08,21,4
7.453e-08,1.916e-08,16,4
8.724e-08,1.743e-08,19,4
7.586e-08,1.79e-08,17,7
7.458e-08,1.796e-08,18,6
9.085e-08,1.834e-08,25,8
7.728e-08,1.903e-08,25,9
8.919e-08,1.824e-08,20,6
7.468e-08,1.866e-08,15,7
7.429e-08,1.789e-08,18,7
8.764e-08,1.702e-08,12,3
7.398e-08,1.971e-08,15,9
7.502e-08,1.791e-08,19,7
