Insert Times,Search Times,Insert Collisions, Search Collisions
1.3607e-07,1.156e-08,0,0
7.018e-08,9.89e-09,3,0
8.258e-08,1.036e-08,0,0
7.941e-08,1.052e-08,1,0
6.673e-08,1.024e-08,6,0
8.14e-08,1.106e-08,5,1
6.614e-08,1.06e-08,6,0
7.862e-08,1.088e-08,2,0
6.672e-08,1.077e-08,8,0
6.519e-08,1.068e-08,6,0
8.517e-08,1.115e-08,14,0
6.575e-08,1.09e-08,9,0
8.134e-08,1.12e-08,11,0
6.61e-08,1.151e-08,7,2
6.583e-08,1.092e-08,12,1
8.104e-08,1.169e-08,10,1
6.637e-08,1.076e-08,6,0
7.816e-08,1.143e-08,8,0
6.716e-08,1.122e-08,11,0
6.661e-08,1.155e-08,15,2
8.192e-08,1.2e-08,13,2
6.751e-08,1.123e-08,17,0
6.81e-08,1.189e-08,19,1
8.51e-08,1.156e-08,18,0
7.018e-08,1.163e-08,28,1
8.536e-08,1.256e-08,16,3
6.959e-08,1.198e-08,22,1
6.849e-08,1.168e-08,20,2
8.22e-08,1.215e-08,22,1
6.754e-08,1.169e-08,16,1
8.44e-08,1.207e-08,23,0
6.786e-08,1.162e-08,19,0
6.953e-08,1.239e-08,19,1
8.125e-08,1.288e-08,16,2
6.925e-08,1.186e-08,19,0
8.161e-08,1.291e-08,24,1
6.827e-08,1.217e-08,19,0
6.777e-08,1.227e-08,19,1
8.534e-08,1.198e-08,26,0
6.929e-08,1.31e-08,19,4
8.706e-08,1.346e-08,27,1
7.06e-08,1.263e-08,21,0
6.922e-08,1.255e-08,19,2
8.408e-08,1.303e-08,25,2
7.259e-08,1.335e-08,29,2
7.064e-08,1.291e-08,25,3
8.405e-08,1.299e-08,13,1
6.889e-08,1.351e-08,18,3
8.424e-08,1.396e-08,21,1
6.964e-08,1.371e-08,22,3
6.938e-08,1.373e-08,26,3
8.582e-08,1.337e-08,29,1
6.929e-08,1.376e-08,20,3
2.1815e-07,1.359e-08,20,3
7e-08,1.387e-08,22,3
6.888e-08,1.311e-08,23,3
8.449e-08,1.362e-08,33,3
7.14e-08,1.327e-08,27,1
8.143e-08,1.398e-08,20,1
6.87e-08,1.403e-08,22,4
6.923e-08,1.49e-08,22,3
8.617e-08,1.527e-08,34,4
7.038e-08,1.415e-08,22,6
7.069e-08,1.272e-08,33,0
8.636e-08,1.374e-08,21,2
6.824e-08,1.322e-08,24,0
8.086e-08,1.469e-08,24,1
6.968e-08,1.366e-08,23,1
7.02e-08,1.572e-08,27,5
8.143e-08,1.425e-08,19,1
6.902e-08,1.477e-08,24,2
8.442e-08,1.465e-08,23,2
7.152e-08,1.487e-08,30,2
6.824e-08,1.405e-08,24,0
8.205e-08,1.464e-08,26,1
6.818e-08,1.593e-08,19,5
1.2826e-07,1.665e-08,27,2
6.879e-08,1.524e-08,16,2
7.195e-08,1.548e-08,26,2
8.711e-08,1.589e-08,29,1
7.101e-08,1.471e-08,27,1
8.482e-08,1.786e-08,31,6
6.975e-08,1.501e-08,24,1
7.078e-08,1.655e-08,28,4
8.274e-08,1.58e-08,25,3
6.912e-08,1.571e-08,21,2
7.031e-08,1.474e-08,26,1
8.642e-08,1.686e-08,23,5
6.887e-08,1.683e-08,20,6
8.382e-08,1.568e-08,22,4
7.226e-08,1.572e-08,31,3
7.207e-08,1.641e-08,28,5
8.63e-08,1.687e-08,30,4
6.959e-08,1.537e-08,22,1
8.241e-08,1.619e-08,26,3
6.899e-08,1.593e-08,16,2
7.192e-08,1.594e-08,32,1
