Insert Times,Search Times,Insert Collisions, Search Collisions
9.005e-08,1.179e-08,0,0
8.9e-08,1.064e-08,0,0
7.438e-08,1.034e-08,0,0
8.958e-08,1.113e-08,0,0
1.31e-07,1.188e-08,1,0
7.388e-08,1.104e-08,0,0
8.728e-08,1.183e-08,0,0
7.349e-08,1.146e-08,0,0
8.715e-08,1.21e-08,1,0
7.376e-08,1.183e-08,1,0
7.48e-08,1.166e-08,1,0
8.74e-08,1.21e-08,0,0
7.357e-08,1.181e-08,1,0
9.304e-08,1.234e-08,1,0
7.444e-08,1.175e-08,5,0
7.313e-08,1.22e-08,0,0
8.693e-08,1.248e-08,1,0
7.371e-08,1.234e-08,1,0
7.344e-08,1.218e-08,3,0
8.738e-08,1.264e-08,5,0
7.429e-08,1.286e-08,6,0
8.703e-08,1.309e-08,1,0
7.453e-08,1.277e-08,7,0
7.362e-08,1.295e-08,1,0
8.886e-08,1.304e-08,0,0
7.417e-08,1.322e-08,4,0
8.753e-08,1.325e-08,4,0
7.374e-08,1.318e-08,2,0
7.468e-08,1.327e-08,5,0
8.735e-08,1.408e-08,6,0
7.42e-08,1.363e-08,6,0
8.583e-08,1.365e-08,4,0
7.432e-08,1.425e-08,7,0
7.367e-08,1.363e-08,1,0
8.968e-08,1.325e-08,5,0
7.507e-08,1.373e-08,7,0
7.497e-08,1.38e-08,3,0
9.269e-08,1.407e-08,8,0
7.388e-08,1.369e-08,3,0
9.138e-08,1.469e-08,4,0
7.663e-08,1.384e-08,9,0
7.505e-08,1.412e-08,6,0
8.828e-08,1.466e-08,4,0
7.695e-08,1.442e-08,6,0
8.863e-08,1.468e-08,2,0
7.538e-08,1.433e-08,7,0
7.337e-08,1.496e-08,3,0
8.79e-08,1.436e-08,7,0
7.412e-08,1.478e-08,4,0
8.598e-08,1.509e-08,5,0
7.435e-08,1.527e-08,6,0
7.474e-08,1.464e-08,5,0
8.723e-08,1.47e-08,7,0
7.503e-08,1.499e-08,5,0
8.849e-08,1.583e-08,3,0
7.542e-08,1.471e-08,7,0
7.563e-08,1.511e-08,9,0
8.711e-08,1.519e-08,8,0
7.511e-08,1.575e-08,7,0
7.555e-08,1.558e-08,8,0
8.779e-08,1.528e-08,7,0
7.641e-08,1.516e-08,7,0
8.743e-08,1.578e-08,7,0
7.396e-08,1.593e-08,6,0
7.569e-08,1.573e-08,7,0
9.183e-08,1.571e-08,10,0
7.278e-08,1.592e-08,6,0
9.151e-08,1.536e-08,12,0
7.635e-08,1.572e-08,5,0
7.59e-08,1.568e-08,5,0
8.835e-08,1.585e-08,9,0
7.635e-08,1.594e-08,6,0
8.758e-08,1.643e-08,6,0
7.579e-08,1.635e-08,8,0
7.546e-08,1.589e-08,8,0
9.366e-08,1.59e-08,13,0
7.75e-08,1.591e-08,10,0
8.898e-08,1.61e-08,10,0
7.501e-08,1.625e-08,7,0
7.586e-08,1.567e-08,9,0
8.875e-08,1.561e-08,6,0
7.445e-08,1.629e-08,3,0
7.679e-08,1.614e-08,12,0
8.857e-08,1.834e-08,7,1
7.578e-08,1.634e-08,9,0
9.407e-08,1.648e-08,13,0
8.012e-08,1.643e-08,17,0
7.659e-08,1.652e-08,10,0
8.9e-08,1.704e-08,10,0
7.972e-08,1.664e-08,14,0
9.02e-08,1.618e-08,14,0
7.6e-08,1.645e-08,8,0
7.556e-08,1.684e-08,8,0
8.873e-08,1.638e-08,6,0
7.581e-08,1.67e-08,11,0
9.306e-08,1.639e-08,9,0
7.661e-08,1.722e-08,11,0
7.623e-08,1.652e-08,10,0
9.001e-08,1.666e-08,11,0
7.96e-08,1.644e-08,19,0
8.018e-08,1.683e-08,14,0
9.135e-08,1.665e-08,17,0
8.204e-08,1.69e-08,20,0
9.274e-08,1.893e-08,17,1
7.838e-08,1.67e-08,16,0
7.628e-08,1.658e-08,7,0
9.528e-08,1.678e-08,20,0
8.001e-08,1.741e-08,15,0
