Insert Times,Search Times,Insert Collisions, Search Collisions
8.83e-08,1.172e-08,0,0
1.3629e-07,1.043e-08,3,0
6.836e-08,9.73e-09,0,0
8.365e-08,1.013e-08,1,0
6.745e-08,1.002e-08,6,0
6.672e-08,1.186e-08,5,1
7.84e-08,1.059e-08,6,0
6.634e-08,1.012e-08,2,0
7.928e-08,1.079e-08,8,0
6.667e-08,1.046e-08,6,0
7.025e-08,1.029e-08,14,0
8.222e-08,1.066e-08,9,0
6.688e-08,1.062e-08,11,0
8.201e-08,1.353e-08,7,2
6.805e-08,1.118e-08,11,1
7.058e-08,1.117e-08,11,1
8.157e-08,1.146e-08,6,1
6.864e-08,1.078e-08,8,0
7.312e-08,1.074e-08,11,0
8.552e-08,1.233e-08,14,2
6.924e-08,1.204e-08,13,2
8.595e-08,1.12e-08,16,0
7.482e-08,1.187e-08,19,1
7.482e-08,1.074e-08,18,0
1.2422e-07,1.237e-08,27,1
7.23e-08,1.49e-08,17,3
9.059e-08,1.237e-08,22,1
7.727e-08,1.245e-08,21,2
7.495e-08,1.125e-08,22,0
8.197e-08,1.202e-08,15,1
8.005e-08,1.105e-08,23,0
8.585e-08,1.163e-08,20,0
7.548e-08,1.192e-08,17,1
7.101e-08,1.395e-08,16,2
8.9e-08,1.178e-08,18,0
7.936e-08,1.136e-08,25,0
7.402e-08,1.156e-08,17,0
9.036e-08,1.237e-08,18,1
8.703e-08,1.131e-08,27,0
8.577e-08,1.77e-08,20,2
8.407e-08,1.153e-08,28,0
8.52e-08,1.239e-08,21,1
9.369e-08,1.612e-08,19,3
8.176e-08,1.688e-08,26,3
1.0307e-07,1.64e-08,27,2
8.411e-08,1.524e-08,25,2
7.482e-08,1.429e-08,14,1
8.865e-08,1.364e-08,19,1
8.212e-08,1.645e-08,21,2
8.969e-08,1.566e-08,23,2
8.021e-08,1.611e-08,24,3
8.802e-08,1.404e-08,31,1
9.067e-08,2.005e-08,22,3
7.858e-08,1.969e-08,21,4
1.027e-07,1.452e-08,22,1
7.833e-08,1.605e-08,22,3
8.854e-08,1.422e-08,32,2
9.981e-08,1.37e-08,26,0
8.273e-08,1.596e-08,23,2
8.58e-08,1.888e-08,22,3
8.797e-08,1.766e-08,22,3
8.821e-08,1.515e-08,36,2
1.0281e-07,2.153e-08,24,4
8.973e-08,1.329e-08,33,0
8.235e-08,1.593e-08,22,3
9.294e-08,1.488e-08,25,1
8.664e-08,1.527e-08,23,1
9.215e-08,1.612e-08,23,1
7.837e-08,2.17e-08,26,6
7.736e-08,1.433e-08,18,1
9.1e-08,2.226e-08,24,4
8.457e-08,1.875e-08,26,3
9.792e-08,2.197e-08,30,3
8.076e-08,1.449e-08,24,0
8.541e-08,1.754e-08,26,2
8.873e-08,2.641e-08,19,7
8.486e-08,1.824e-08,26,2
8.904e-08,1.749e-08,16,2
8.557e-08,2.69e-08,26,5
8.824e-08,1.82e-08,28,1
