Insert Times,Search Times
5.6186e-07,3.839e-07
9.0589e-07,2.576e-07
1.58254e-06,5.5831e-07
9.4699e-07,5.0936e-07
1.15754e-06,6.3425e-07
1.46563e-06,7.5357e-07
1.72482e-06,9.0796e-07
1.94428e-06,1.11886e-06
2.45227e-06,2.06453e-06
2.70373e-06,1.73419e-06
2.67879e-06,2.72154e-06
7.61058e-06,1.49578e-06
4.4424e-06,2.86698e-06
4.49176e-06,1.79478e-06
3.628e-06,1.84491e-06
3.85886e-06,1.8575e-06
4.42564e-06,2.20733e-06
4.32237e-06,2.50665e-06
4.57583e-06,2.60567e-06
4.8134e-06,2.85457e-06
5.15815e-06,2.94542e-06
5.62579e-06,2.81181e-06
5.53038e-06,2.99877e-06
5.78892e-06,3.08793e-06
6.03262e-06,3.41115e-06
6.2785e-06,3.18731e-06
6.49508e-06,3.03101e-06
6.75428e-06,3.8373e-06
7.01052e-06,3.43747e-06
7.2496e-06,3.69705e-06
8.23452e-06,3.77732e-06
7.70456e-06,3.91736e-06
7.96407e-06,5.40656e-06
1.28776e-05,4.14593e-06
8.71473e-06,5.29327e-06
1.17673e-05,5.63133e-06
1.06249e-05,6.94435e-06
1.2139e-05,6.59765e-06
1.34483e-05,5.58098e-06
1.00993e-05,4.72224e-06
1.03979e-05,5.23276e-06
1.04585e-05,5.32644e-06
1.07113e-05,5.53155e-06
1.0838e-05,5.3059e-06
1.57627e-05,6.29434e-06
1.15996e-05,6.51218e-06
1.17965e-05,5.4751e-06
1.19984e-05,6.66206e-06
1.24406e-05,6.47523e-06
1.49403e-05,6.09764e-06
1.33064e-05,5.88311e-06
1.34578e-05,6.22364e-06
1.293e-05,5.84369e-06
1.42652e-05,6.393e-06
1.59468e-05,7.72837e-06
1.4078e-05,6.66985e-06
1.39482e-05,7.33565e-06
1.57682e-05,6.31473e-06
1.49223e-05,7.22832e-06
1.50762e-05,8.11635e-06
1.53374e-05,7.59449e-06
1.56073e-05,7.51911e-06
1.5884e-05,8.90421e-06
1.61377e-05,7.93527e-06
1.64493e-05,7.21973e-06
1.67212e-05,7.26997e-06
1.69531e-05,7.71989e-06
1.72138e-05,8.77647e-06
1.75114e-05,9.64941e-06
1.78425e-05,8.72485e-06
1.80163e-05,8.31682e-06
1.83092e-05,1.02144e-05
1.85533e-05,9.28054e-06
1.88087e-05,8.73247e-06
1.90492e-05,9.67309e-06
1.93362e-05,9.57913e-06
1.95629e-05,8.89201e-06
1.98382e-05,9.55115e-06
2.01107e-05,1.02267e-05
2.03895e-05,1.00733e-05
2.06895e-05,1.10469e-05
2.0927e-05,1.05365e-05
2.12103e-05,1.08797e-05
2.14718e-05,1.10459e-05
2.17195e-05,1.10298e-05
2.20357e-05,1.16402e-05
2.22912e-05,1.08967e-05
2.2544e-05,1.15234e-05
2.28185e-05,1.07611e-05
2.30652e-05,1.20392e-05
2.33743e-05,1.09048e-05
2.36456e-05,1.10785e-05
2.3793e-05,1.10978e-05
2.36521e-05,1.14894e-05
2.38875e-05,1.0915e-05
2.41818e-05,1.18133e-05
2.44348e-05,1.11612e-05
2.50302e-05,1.20043e-05
2.49897e-05,1.20058e-05
2.51758e-05,1.08605e-05
2.54557e-05,1.28535e-05
2.81798e-05,1.90557e-05
2.60354e-05,1.20998e-05
2.62997e-05,1.35077e-05
2.65967e-05,1.37017e-05
2.68728e-05,1.31759e-05
2.70873e-05,1.3603e-05
2.73844e-05,1.49175e-05
2.76383e-05,1.28268e-05
2.83085e-05,1.37224e-05
2.81878e-05,1.49933e-05
2.93832e-05,1.36096e-05
2.86564e-05,1.5306e-05
2.89578e-05,1.33017e-05
2.99112e-05,1.4876e-05
2.94272e-05,1.39876e-05
2.97317e-05,1.32001e-05
2.99856e-05,1.51569e-05
3.13915e-05,1.54431e-05
3.0509e-05,1.5456e-05
3.07666e-05,1.5766e-05
3.17461e-05,1.5382e-05
3.12662e-05,1.63145e-05
3.15091e-05,1.24937e-05
3.17816e-05,1.54803e-05
3.20485e-05,1.54121e-05
3.22758e-05,1.71316e-05
3.2554e-05,1.57028e-05
3.28308e-05,1.48812e-05
3.37828e-05,1.7121e-05
3.33098e-05,1.58042e-05
3.35844e-05,1.67331e-05
3.38409e-05,1.70311e-05
3.41067e-05,1.89426e-05
3.47064e-05,1.3849e-05
3.46121e-05,1.8101e-05
3.48505e-05,1.73853e-05
3.50986e-05,1.76008e-05
3.53865e-05,1.70571e-05
3.56255e-05,1.77595e-05
3.58956e-05,1.71546e-05
3.61539e-05,1.79853e-05
3.64205e-05,1.9878e-05
3.70063e-05,2.07522e-05
3.69414e-05,1.67931e-05
4.56455e-05,2.27801e-05
3.85571e-05,1.92956e-05
3.76252e-05,2.08855e-05
3.81169e-05,1.86064e-05
3.95405e-05,1.81306e-05
3.93399e-05,2.26547e-05
3.86725e-05,2.13771e-05
4.05298e-05,1.96095e-05
4.06094e-05,2.0683e-05
4.19615e-05,2.88942e-05
4.5509e-05,2.04011e-05
4.01574e-05,1.89805e-05
4.7272e-05,1.95733e-05
4.62549e-05,2.36767e-05
4.79724e-05,2.20036e-05
4.46062e-05,2.50545e-05
4.3653e-05,1.90808e-05
4.8072e-05,3.11257e-05
4.22976e-05,2.12598e-05
4.28314e-05,2.61992e-05
4.86091e-05,2.24077e-05
4.87102e-05,2.15825e-05
4.95726e-05,2.07396e-05
5.96554e-05,2.63265e-05
4.64773e-05,2.21386e-05
4.51534e-05,2.2612e-05
4.48663e-05,2.59059e-05
4.55704e-05,2.24104e-05
4.5764e-05,2.21959e-05
4.6383e-05,2.1774e-05
4.69147e-05,2.38113e-05
4.67464e-05,2.06284e-05
4.65221e-05,2.21464e-05
4.7002e-05,2.40403e-05
5.00674e-05,2.27492e-05
4.76009e-05,2.37717e-05
4.78587e-05,2.36628e-05
4.84175e-05,2.33104e-05
4.84283e-05,2.25153e-05
4.86373e-05,2.27605e-05
4.89006e-05,2.54105e-05
4.91688e-05,2.48134e-05
4.94598e-05,2.59066e-05
5.01215e-05,2.54759e-05
4.98709e-05,2.07137e-05
5.01743e-05,2.51804e-05
5.03806e-05,2.43779e-05
5.08306e-05,2.7869e-05
5.89699e-05,2.69775e-05
5.11319e-05,2.57885e-05
5.14466e-05,2.55708e-05
5.18275e-05,2.5513e-05
5.32709e-05,2.77488e-05
5.42942e-05,2.84574e-05
5.56096e-05,2.5599e-05
5.41238e-05,2.57955e-05
5.41475e-05,2.36758e-05
5.5323e-05,2.74577e-05
5.81524e-05,2.54844e-05
5.80979e-05,2.9507e-05
5.73471e-05,2.78261e-05
5.55873e-05,2.66439e-05
7.73073e-05,3.37911e-05
5.44143e-05,2.95361e-05
5.50956e-05,3.0147e-05
5.55861e-05,2.51702e-05
5.65088e-05,3.06089e-05
5.64468e-05,2.9909e-05
5.63655e-05,2.96628e-05
5.66838e-05,3.16809e-05
5.76815e-05,2.83968e-05
5.7267e-05,3.35176e-05
5.97431e-05,3.32345e-05
5.73627e-05,3.01943e-05
5.92726e-05,3.03211e-05
6.03879e-05,2.82886e-05
5.89245e-05,2.85611e-05
6.37563e-05,2.93149e-05
5.89675e-05,3.14387e-05
6.64471e-05,3.066e-05
5.93442e-05,2.87355e-05
6.09571e-05,3.25632e-05
6.07759e-05,2.74351e-05
6.10409e-05,3.13981e-05
6.14529e-05,3.07616e-05
6.09137e-05,3.72627e-05
6.26801e-05,2.85652e-05
6.13872e-05,3.49656e-05
6.20236e-05,3.34302e-05
6.18289e-05,3.34064e-05
6.29304e-05,3.32543e-05
6.22497e-05,3.18138e-05
6.2957e-05,3.17461e-05
6.3658e-05,3.11034e-05
8.00624e-05,3.70524e-05
7.67394e-05,3.0436e-05
6.43623e-05,3.58723e-05
6.69065e-05,4.04431e-05
7.3556e-05,3.56927e-05
7.59118e-05,4.20252e-05
8.20861e-05,4.24473e-05
9.47985e-05,4.2693e-05
8.34231e-05,3.82027e-05
7.3798e-05,3.7898e-05
7.49991e-05,3.90446e-05
7.37292e-05,3.49578e-05
6.64468e-05,3.67016e-05
6.66651e-05,3.41131e-05
6.64341e-05,3.51877e-05
6.73749e-05,4.00441e-05
6.73241e-05,3.18326e-05
6.76496e-05,3.18854e-05
6.80685e-05,3.54294e-05
6.7966e-05,3.30898e-05
6.90057e-05,3.46117e-05
6.97292e-05,3.6954e-05
6.95159e-05,3.5586e-05
7.01275e-05,4.10081e-05
9.5298e-05,3.93926e-05
7.97704e-05,4.70915e-05
8.44458e-05,3.50922e-05
7.06156e-05,4.58074e-05
7.2015e-05,4.48539e-05
8.22021e-05,5.77451e-05
0.000111842,5.41677e-05
0.000126334,7.34743e-05
0.000111981,6.75883e-05
0.00011051,5.16242e-05
0.000104285,7.31613e-05
0.000113373,4.89322e-05
0.000108865,4.54774e-05
0.000102965,4.1586e-05
9.0117e-05,5.63835e-05
0.000104738,3.87878e-05
8.41351e-05,4.69234e-05
8.49728e-05,4.44029e-05
8.50068e-05,4.38598e-05
8.9486e-05,4.28111e-05
8.05247e-05,4.29683e-05
7.68404e-05,4.50699e-05
7.77912e-05,3.92274e-05
8.40111e-05,4.69146e-05
8.0524e-05,3.97038e-05
7.5621e-05,3.63594e-05
0.000100346,4.22872e-05
9.42094e-05,4.54888e-05
9.17756e-05,3.81449e-05
8.14035e-05,4.10745e-05
7.96289e-05,3.95011e-05
8.72092e-05,4.00076e-05
8.25947e-05,3.94397e-05
8.87229e-05,4.51591e-05
8.08474e-05,4.1645e-05
8.84259e-05,4.45373e-05
9.14131e-05,4.14894e-05
8.97604e-05,4.6585e-05
