Insert Times,Search Times
2.6052e-07,1.5273e-07
4.8268e-07,2.8027e-07
7.1764e-07,3.9999e-07
9.778e-07,5.3054e-07
1.22894e-06,6.5829e-07
1.4839e-06,7.7183e-07
1.73269e-06,9.5551e-07
2.15584e-06,1.1634e-06
2.2242e-06,1.17733e-06
2.46289e-06,1.33353e-06
2.71831e-06,1.5748e-06
2.94879e-06,1.61057e-06
3.34715e-06,1.70708e-06
3.37036e-06,1.88222e-06
3.61624e-06,1.87838e-06
3.86197e-06,2.003e-06
4.08399e-06,2.27589e-06
4.33216e-06,2.50832e-06
4.5796e-06,2.75085e-06
4.81651e-06,2.95675e-06
5.05558e-06,3.00814e-06
5.32419e-06,2.93619e-06
5.54809e-06,3.07882e-06
5.80013e-06,3.18279e-06
6.0272e-06,3.47131e-06
6.24761e-06,3.1749e-06
6.52423e-06,3.45665e-06
6.75006e-06,4.17613e-06
6.99282e-06,3.58233e-06
7.25783e-06,3.81051e-06
7.49205e-06,3.85349e-06
7.71996e-06,4.29222e-06
7.97112e-06,4.42935e-06
8.21202e-06,4.31672e-06
8.41879e-06,4.92832e-06
8.68908e-06,4.20095e-06
8.96462e-06,5.05305e-06
9.17379e-06,4.70016e-06
9.41503e-06,5.38524e-06
9.65473e-06,4.89175e-06
9.92882e-06,5.35703e-06
1.0163e-05,5.23994e-06
1.03986e-05,5.5266e-06
1.06323e-05,5.67671e-06
1.08738e-05,6.24656e-06
1.11317e-05,6.59737e-06
1.13644e-05,5.46007e-06
1.30686e-05,6.56538e-06
1.18183e-05,7.02788e-06
1.20787e-05,6.62307e-06
1.23327e-05,6.27372e-06
1.25999e-05,6.55984e-06
1.28112e-05,7.27112e-06
1.42079e-05,7.06434e-06
1.37124e-05,7.75376e-06
1.78671e-05,7.06139e-06
1.42896e-05,7.56204e-06
1.41252e-05,6.37736e-06
1.54519e-05,7.51706e-06
1.46493e-05,7.90602e-06
1.48763e-05,9.82735e-06
1.76044e-05,7.6541e-06
